Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,183,8992592,899259200.000000000000000,20,99,79,68.694699926339368,17.045323703000349,617743409.000000000000000,18,68,82,68
,184,9001354,900135400.000000000000000,20,99,79,69.214227437338877,19.705643481942534,623021763.000000000000000,21,68,78,68
,185,9001457,900145700.000000000000000,20,99,79,52.311180845500900,26.769428061640205,470876845.000000000000000,15,43,30,43
,186,8994268,899426800.000000000000000,20,99,79,64.927706846182474,23.336497459873289,583977196.000000000000000,17,90,63,65
,187,8998475,899847500.000000000000000,20,99,79,60.677351662365012,21.139540998125142,546003632.000000000000000,16,43,63,50
,188,9002481,900248100.000000000000000,14,99,85,51.268327031181741,22.593521078934632,461542140.000000000000000,24,43,47,43
,189,8996606,899660600.000000000000000,0,99,99,45.865617878564429,27.434143088515413,412634893.000000000000000,24,14,21,43
,190,1968318,196831800.000000000000000,14,99,85,50.587914656066751,25.510785300296771,99573103.000000000000000,18,43,20,43
,192,3460,346000.000000000000000,0,43,43,31.739595375722544,15.940173331800375,109819.000000000000000,5,40,33,40
,193,4964576,496457600.000000000000000,14,99,85,57.253396261835853,29.736359736393339,284238837.000000000000000,28,14,83,55
,194,8966742,896674200.000000000000000,14,99,85,53.322929777615997,28.911631518561698,478132954.000000000000000,32,49,79,49
,195,8994164,899416400.000000000000000,14,99,85,47.229786003457356,25.340832042424424,424792441.000000000000000,27,29,84,43
,196,8999571,899957100.000000000000000,14,99,85,51.558862750235541,24.510823694512464,464007646.000000000000000,29,43,94,43
,197,8999191,899919100.000000000000000,0,99,99,62.163554146144918,21.821481262078532,559421697.000000000000000,19,53,0,53
,198,9003527,900352700.000000000000000,20,99,79,63.689670836773189,19.411058532428356,573431671.000000000000000,20,53,63,53
,199,8990116,899011600.000000000000000,20,99,79,62.963259650932201,22.082370707109892,566047008.000000000000000,19,53,40,53
,200,9003317,900331700.000000000000000,20,99,79,60.829819165536435,28.686717458533902,547670145.000000000000000,18,90,91,53
,201,8992506,899250600.000000000000000,20,99,79,51.521757116425611,30.256622759093744,463309710.000000000000000,14,20,88,43
,202,8996422,899642200.000000000000000,20,99,79,55.770437291625491,29.864679668229272,501734389.000000000000000,17,20,81,47
,203,8979771,897977100.000000000000000,20,99,79,60.358507026515490,22.018952988158034,542005571.000000000000000,17,43,82,50
,204,8534791,853479100.000000000000000,0,99,99,52.002582488545997,21.359481572142702,443831173.000000000000000,17,43,78,43
,205,3997461,399746100.000000000000000,0,99,99,45.032824585405585,25.054494948990030,180016960.000000000000000,23,43,91,43
,206,62786,6278600.000000000000000,14,99,85,41.411938967285700,28.533213865280391,2600090.000000000000000,14,14,91,33
,209,1647,164700.000000000000000,69,99,30,86.219793564055863,13.679531790228975,142004.000000000000000,3,99,92,92
,210,4285628,428562800.000000000000000,14,99,85,48.506541631704849,28.922004562026018,207880993.000000000000000,29,14,65,50
,211,9000717,900071700.000000000000000,14,99,85,40.466924023941651,31.165707092630537,364231331.000000000000000,31,14,80,29
,212,8997700,899770000.000000000000000,0,99,99,53.799765273347631,25.527127173120924,484074148.000000000000000,28,53,87,53
,213,9001473,900147300.000000000000000,20,99,79,54.761829758307336,24.421663904190083,492937132.000000000000000,18,43,44,43
,214,9005025,900502500.000000000000000,20,99,79,64.216827826685659,20.461335492116255,578274140.000000000000000,17,90,83,53
,215,9003420,900342000.000000000000000,0,99,99,67.069254127875851,19.029848753407638,603852664.000000000000000,19,53,0,53
,216,8995707,899570700.000000000000000,20,99,79,65.797025181011335,25.741427039153255,591890760.000000000000000,19,90,78,65
,217,7680550,768055000.000000000000000,20,99,79,52.895653696675367,30.939337412991591,406267713.000000000000000,12,20,82,43
,218,5213806,521380600.000000000000000,20,99,79,49.686566780582169,28.536608011322603,259056120.000000000000000,14,20,68,47
,219,1447306,144730600.000000000000000,20,99,79,55.743457154188540,19.430559210581436,80677840.000000000000000,16,43,81,47
,220,135782,13578200.000000000000000,30,99,69,53.626482155219399,15.578580739894917,7281511.000000000000000,10,43,80,50
,226,3330499,333049900.000000000000000,20,99,79,60.822476451726907,20.887574201340904,202569197.000000000000000,23,53,88,53
,227,8989756,898975600.000000000000000,14,99,85,58.857067644550085,22.711408898696025,529110677.000000000000000,32,53,64,53
,228,8996840,899684000.000000000000000,20,99,79,32.903423757674915,22.648453171169944,296026839.000000000000000,23,20,88,20
,229,8987466,898746600.000000000000000,20,99,79,51.795333412109706,18.598169977854866,465508798.000000000000000,23,50,42,50
,230,8991651,899165100.000000000000000,20,99,79,54.878704033330472,12.564144077080780,493450154.000000000000000,22,53,42,53
,231,8517746,851774600.000000000000000,20,99,79,57.118187839834626,17.396904071447640,486518216.000000000000000,21,50,44,50
,232,1642991,164299100.000000000000000,30,99,69,63.827160343544179,17.721534924065701,104867450.000000000000000,13,50,68,50
,242,1645685,164568500.000000000000000,20,99,79,55.227253089139175,15.593717617753727,90886662.000000000000000,17,53,20,53
,243,5738403,573840300.000000000000000,20,99,79,57.351735491564462,14.854133914796131,329107371.000000000000000,22,53,85,53
,244,7045054,704505400.000000000000000,20,99,79,53.380657266786031,15.220021804363306,376069613.000000000000000,22,53,92,53
,245,8969354,896935400.000000000000000,20,99,79,38.276130477178178,15.971703357105858,343312164.000000000000000,21,20,88,40
,246,4779764,477976400.000000000000000,14,99,85,57.906491408362420,15.778319090595712,276779363.000000000000000,18,53,65,53
,247,476608,47660800.000000000000000,20,99,79,51.274468745803681,11.938224811802648,24437822.000000000000000,12,53,99,53
,261,1472666,147266600.000000000000000,20,99,79,53.129642430802370,12.664766008578431,78242218.000000000000000,18,53,80,53
,262,3337113,333711300.000000000000000,12,99,87,51.764304355291536,10.188752629343021,172743333.000000000000000,18,53,30,53
,263,703912,70391200.000000000000000,12,99,87,56.931940356180888,13.275258293212762,40075076.000000000000000,16,53,69,53
